session_id,mechanism,noise_multiplier,l2_before,l2_after,distortion_ratio,silhouette_score,accuracy,precision,recall,f1,mae,dp_update_uri,dp_receipt,dp_receipt_uri,mode,explain_uri,retrieval_avg_latency_ms,retrieval_median_latency_ms,retrieval_k,rag_mean_latency,rag_median_latency,rag_k
sess-1781634001,gaussian,0.0,11.344788551330566,1.0000004768371582,0.08814624197043562,0.6559565239918271,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_gaussian_1781634006263.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 0.0, ""mechanism"": ""gaussian"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 1.0000004768371582, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_gaussian_1781634006263.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.290675Z"", ""signature"": ""y6Ef1zTlh6xgdrY2VBB3Mwm8GBhzJgP0KhHTcOdrO+w=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_09e8f37beee94d5b919bd6c3e10c1fb0.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,gaussian,0.5,11.344788551330566,271.759765625,23.9545906361712,0.6614651639101047,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_gaussian_1781634006309.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 0.5, ""mechanism"": ""gaussian"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 271.759765625, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_gaussian_1781634006309.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.334637Z"", ""signature"": ""xBXCgHNwEEPF6awojB7Cd/DmYYCGBf26IAKaA9yi8BY=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_7c8b08ffe0cb44a1aa0b7f66774669d6.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,gaussian,1.0,11.344788551330566,543.4938354492188,47.90691628514914,0.6397034705652777,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_gaussian_1781634006349.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 1.0, ""mechanism"": ""gaussian"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 543.4938354492188, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_gaussian_1781634006349.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.373552Z"", ""signature"": ""B7GDF1s0RUExAVtL38Q+twCTjobe/Y2TF2o3Du03UKc=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_657524447fef4778b68142cb203753f9.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,gaussian,1.5,11.344788551330566,814.7562866210938,71.8176705421026,0.6615339684559829,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_gaussian_1781634006388.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 1.5, ""mechanism"": ""gaussian"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 814.7562866210938, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_gaussian_1781634006388.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.415783Z"", ""signature"": ""I9sixvUFw3aAc9TlflgANHnZ7vKg7icMNXy49HxQX6s=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_4e44d0d7b2c644f2a9790fa738aa8faf.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,gaussian,2.0,11.344788551330566,1089.369140625,96.02375007696466,0.6322067576150235,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_gaussian_1781634006429.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 2.0, ""mechanism"": ""gaussian"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 1089.369140625, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_gaussian_1781634006429.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.463031Z"", ""signature"": ""5ArmV4rynZ6UcwVmd+xtQPZrC99bfbkAy+8QsPE0iYc=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_fb961b05444c4cccbb4dda2514d47f20.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,laplace,0.0,11.344788551330566,1.0000004768371582,0.08814624197043562,0.640102706291188,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_laplace_1781634006474.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 0.0, ""mechanism"": ""laplace"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 1.0000004768371582, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_laplace_1781634006474.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.498743Z"", ""signature"": ""BzWea/E4Jcdr1+j/oNoYX1AYNTM0TlD2u9MgLFQiLUc=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_c30da02343a44066af539ab2c4cda75a.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,laplace,0.5,11.344788551330566,384.4424133300781,33.88713783044479,0.6452592196575009,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_laplace_1781634006518.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 0.5, ""mechanism"": ""laplace"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 384.4424133300781, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_laplace_1781634006518.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.542341Z"", ""signature"": ""GiRrOJe44Jx2F13d4DGKDz2DshNc1GyVZLC/OIlKtyM=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_24f90501751446569a415695d2dfd99f.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,laplace,1.0,11.344788551330566,766.7421264648438,67.58540478106411,0.6488262981221383,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_laplace_1781634006568.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 1.0, ""mechanism"": ""laplace"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 766.7421264648438, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_laplace_1781634006568.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.601339Z"", ""signature"": ""pQ/V2nhN3CObdsv8vvQP0PBxxCsr6nnaHeeMt2ZxJQ4=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_edbe020966ca49e2918febf3324e502e.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,laplace,1.5,11.344788551330566,1152.5758056640625,101.59517741097856,0.6415248522219088,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_laplace_1781634006618.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 1.5, ""mechanism"": ""laplace"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 1152.5758056640625, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_laplace_1781634006618.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.644201Z"", ""signature"": ""wlNDmETn/3tcBsNgNi72vagDcvYsMl9K06JeiE5bU5E=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_6f35feab9d1d47908f241eaa60cf9bdd.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
sess-1781634001,laplace,2.0,11.344788551330566,1540.593994140625,135.79750623242245,0.6530326836748341,1.0,0.0,0.0,0.0,1.320428729057312,file://secure_store\local_updates\dp_laplace_1781634006661.pt.enc,"{""agent"": ""dp-agent"", ""session_id"": ""sess-1781634001"", ""operation"": ""dp_process_update"", ""params"": {""clip_norm"": 1.0, ""clip_applied"": true, ""noise_multiplier"": 2.0, ""mechanism"": ""laplace"", ""l2_norm_before"": 11.344788551330566, ""l2_norm_after"": 1540.593994140625, ""parent_receipt"": null}, ""outputs"": [""file://secure_store\\local_updates\\dp_laplace_1781634006661.pt.enc""], ""timestamp"": ""2026-06-16T18:20:06.687952Z"", ""signature"": ""JFvnEAJyNTHa+bSdB/CJOMg/m8Jf8Z6uV2hR3Hdt9ps=""}",file://C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\receipts\receipt_b2ed970123f74aa5aa212d7241535fb3.json,base,C:\Users\DELL\Desktop\pipeline backup\BE-Major-Project\explain_logs\base_explain_1781634006246.txt,,,,,,
